count, mean, std_error
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
999, 2.0, 0.0
998, 2.0, 0.0
997, 2.0, 0.0
990, 2.0, 0.0
976, 2.0, 0.0
958, 2.0, 0.0
924, 2.0, 0.0
861, 2.0, 0.0
800, 2.0, 0.0
721, 2.0, 0.0
647, 2.0, 0.0
565, 2.0, 0.0
487, 2.0, 0.0
407, 2.0, 0.0
328, 2.0, 0.0
269, 2.0, 0.0
228, 2.0, 0.0
184, 2.0, 0.0
153, 2.0, 0.0
121, 2.0, 0.0
86, 2.0, 0.0
69, 2.0, 0.0
58, 2.0, 0.0
45, 2.0, 0.0
35, 2.0, 0.0
29, 2.0, 0.0
24, 2.0, 0.0
20, 2.0, 0.0
19, 2.0, 0.0
14, 2.0, 0.0
12, 2.0, 0.0
